Compound,AM2,AM3,rcov1,rcov2,rcov3,AEN2,FIE3,HeatFusion3,molar_volume3
B Al N2,26.981,14.01,82,121,71,1.613,1402.3,0.36,0.011197
B GaN2,69.72,14.01,82,122,71,1.756,1402.3,0.36,0.011197
B In N2,114.8,14.01,82,142,71,1.656,1402.3,0.36,0.011197
B Al P2,26.981,30.97,82,121,107,1.613,1011.8,0.64,0.000016991
B Ga P2,69.72,30.97,82,122,107,1.756,1011.8,0.64,0.000016991
B In P2,114.8,30.97,82,142,107,1.656,1011.8,0.64,0.000016991
B Al As2,26.981,74.92,82,121,119,1.613,947,27.7,0.000013082
B GaAs2,69.72,74.92,82,122,119,1.756,947,27.7,0.000013082
B In As2,114.8,74.92,82,142,119,1.656,947,27.7,0.000013082
B Al Sb2,26.981,121.8,82,121,139,1.613,834,19.7,0.000018181
B GaSb2,69.72,121.8,82,122,139,1.756,834,19.7,0.000018181
B In Sb2,114.8,121.8,82,142,139,1.656,834,19.7,0.000018181
Al B N2,10.81,14.01,121,82,71,2.05,1402.3,0.36,0.011197
Ga B N2,10.81,14.01,122,82,71,2.05,1402.3,0.36,0.011197
In B N2,10.81,14.01,142,82,71,2.05,1402.3,0.36,0.011197
Al B As2,10.81,74.92,121,82,119,2.05,947,27.7,0.000013082
Ga B As2,10.81,74.92,122,82,119,2.05,947,27.7,0.000013082
In B As2,10.81,74.92,142,82,119,2.05,947,27.7,0.000013082
Al B P2,10.81,30.97,121,82,107,2.05,1011.8,0.64,0.000016991
Ga BP2,10.81,30.97,122,82,107,2.05,1011.8,0.64,0.000016991
In B P2,10.81,30.97,142,82,107,2.05,1011.8,0.64,0.000016991
Al B Sb2,10.81,121.8,121,82,139,2.05,834,19.7,0.000018181
Ga B Sb2,10.81,121.8,122,82,139,2.05,834,19.7,0.000018181
In B Sb2,10.81,121.8,142,82,139,2.05,834,19.7,0.000018181
